Episode,Max Cell
0,256
1,64
2,64
3,64
4,128
5,128
6,64
7,128
8,128
9,256
10,64
11,64
12,128
13,16
14,32
15,8
16,32
17,256
18,32
19,128
20,32
21,256
22,128
23,64
24,32
25,32
26,128
27,32
28,256
29,128
30,128
31,64
32,64
33,64
34,32
35,64
36,64
37,32
38,64
39,128
40,128
41,64
42,128
43,256
44,64
45,64
46,64
47,64
48,64
49,64
50,128
51,64
52,256
53,64
54,32
55,64
56,128
57,64
58,64
59,64
60,128
61,256
62,128
63,64
64,64
65,32
66,128
67,128
68,128
69,32
70,128
71,64
72,128
73,128
74,128
75,64
76,128
77,128
78,128
79,32
80,64
81,64
82,32
83,128
84,32
85,64
86,256
87,64
88,64
89,64
90,128
91,64
92,256
93,128
94,32
95,64
96,64
97,64
98,64
99,128
100,64
101,128
102,128
103,128
104,256
105,128
106,32
107,128
108,128
109,128
110,128
111,256
112,128
113,64
114,64
115,32
116,32
117,32
118,32
119,32
120,32
121,128
122,64
123,16
124,32
125,128
126,32
127,64
128,128
129,32
130,32
131,64
132,128
133,64
134,128
135,32
136,64
137,64
138,16
139,64
140,32
141,32
142,256
143,32
144,64
145,64
146,128
147,64
148,64
149,32
150,128
151,128
152,128
153,32
154,128
155,128
156,64
157,64
158,64
159,256
160,64
161,256
162,32
163,128
164,128
165,32
166,32
167,64
168,32
169,32
170,128
171,32
172,256
173,32
174,128
175,64
176,128
177,64
178,64
179,64
180,256
181,64
182,64
183,64
184,64
185,32
186,256
187,64
188,128
189,32
190,64
191,32
192,128
193,128
194,64
195,64
196,64
197,64
198,64
199,128
200,128
201,32
202,64
203,64
204,64
205,32
206,256
207,128
208,256
209,32
210,128
211,128
212,64
213,64
214,128
215,32
216,128
217,128
218,32
219,64
220,256
221,64
222,64
223,128
224,128
225,128
226,32
227,64
228,256
229,64
230,256
231,64
232,128
233,64
234,128
235,128
236,64
237,128
238,32
239,64
240,128
241,128
242,32
243,128
244,128
245,64
246,128
247,64
248,128
249,64
250,128
251,64
252,256
253,32
254,64
255,256
256,64
257,256
258,128
259,128
260,128
261,64
262,32
263,32
264,64
265,128
266,32
267,16
268,32
269,32
270,128
271,64
272,128
273,32
274,64
275,32
276,64
277,256
278,32
279,64
280,64
281,256
282,64
283,128
284,256
285,32
286,64
287,64
