Episode,Score
0,840
1,848
2,344
3,680
4,2232
5,2612
6,900
7,1072
8,600
9,656
10,328
11,808
12,680
13,772
14,844
15,1660
16,1404
17,888
18,540
19,896
20,356
21,616
22,1188
23,616
24,2000
25,856
26,444
27,360
28,1116
29,620
30,360
31,792
32,192
33,536
34,420
35,1352
36,1176
37,1660
38,248
39,500
40,2472
41,364
42,304
43,940
44,540
45,356
46,128
47,1288
48,1304
49,816
50,1016
51,2032
52,1648
53,1156
54,564
55,904
56,680
57,1296
58,736
59,656
60,800
61,940
62,644
63,1032
64,1632
65,1076
66,428
67,588
68,1156
69,328
70,676
71,396
72,244
73,400
74,1308
75,676
76,312
77,684
78,560
79,3772
80,1196
81,1592
82,2244
83,1088
84,1136
85,1976
86,188
87,376
88,816
89,176
90,548
91,1100
92,1244
93,992
94,332
95,412
96,748
97,1244
98,1660
99,824
100,1408
101,420
102,464
103,584
104,320
105,240
106,1248
107,392
108,1780
109,160
110,2336
111,260
112,416
113,584
114,516
115,516
116,848
117,864
118,1152
119,768
120,676
121,740
122,1244
123,1328
124,2632
125,420
126,668
127,252
128,632
129,1352
130,1332
131,568
132,1376
133,316
134,852
135,1684
136,1188
137,996
138,460
139,1116
140,312
141,448
142,216
143,1588
144,416
145,1012
146,760
147,1904
148,724
149,216
150,1644
151,300
152,696
153,516
154,340
155,916
156,244
157,788
158,424
159,408
160,232
161,1132
162,92
163,2472
164,1276
165,728
166,1860
167,3652
168,1492
169,704
170,1296
171,924
172,344
173,792
174,828
175,1164
176,560
177,792
178,2072
179,748
180,1632
181,548
182,1060
183,1000
184,1168
185,316
186,504
187,260
188,1472
189,252
190,72
191,1376
192,640
193,708
194,572
195,764
196,932
197,1072
198,1228
199,420
200,688
201,1608
202,104
203,876
204,1044
205,576
206,816
207,1228
208,1248
209,1304
210,1336
211,312
212,312
213,980
214,508
215,1308
216,336
217,560
218,2560
219,1196
220,1040
221,1528
222,584
223,908
224,1024
225,1488
226,1044
227,736
228,2168
229,1904
230,2536
231,68
232,676
233,240
234,212
235,124
236,1440
237,652
238,2052
239,996
240,380
241,2144
242,1504
243,616
244,600
245,916
246,1292
247,496
248,672
249,628
250,428
251,620
252,1068
253,328
254,404
255,2424
256,320
257,1492
258,1012
259,1196
260,468
261,1176
262,2016
263,600
264,1148
265,1112
266,1236
267,968
268,676
269,604
270,956
271,588
272,508
273,136
274,944
275,316
276,924
277,1140
278,1484
279,920
280,624
281,304
